id,p_code,first_name,last_name,gender,alt_last_name_1,alt_last_name_2,dob,hand,backhand,created_at,updated_at,country_id
1070,khunt,Karen,Hunter,F,,,1968-08-26,,,2016-01-01 04:08:30.7563,2016-01-01 04:08:30.7563,227
1071,kjagi,Karolina,Jagieniak,F,,,1979-06-04,,,2016-01-01 04:08:30.768238,2016-01-01 04:08:30.768238,74
1072,kjhip,K.J.,Hippensteel,M,,,1980-05-08,L,2,2016-01-01 04:08:30.780098,2016-01-01 04:08:30.780098,228
1073,kjone,Kelly,Jones,M,,,1964-03-31,R,,2016-01-01 04:08:30.792311,2016-01-01 04:08:30.792311,228
1074,kjord,Kathy,Jordan,F,,,1959-12-03,R,1,2016-01-01 04:08:30.804274,2016-01-01 04:08:30.804274,228
1075,kkane,Kaia,Kanepi,F,,,1985-06-10,R,2,2016-01-01 04:08:30.816377,2016-01-01 04:08:30.816377,68
1076,kkeil,Kathrin,Keil,F,,,1962-11-28,,,2016-01-01 04:08:30.828359,2016-01-01 04:08:30.828359,228
1077,kkess,Kimberly,Kessaris,F,,,1973-03-27,,,2016-01-01 04:08:30.84034,2016-01-01 04:08:30.84034,228
1078,kkim,Kevin,Kim,M,,,1978-07-26,R,2,2016-01-01 04:08:30.852381,2016-01-01 04:08:30.852381,228
1079,kkinn,Kent,Kinnear,M,,,1966-11-30,R,,2016-01-01 04:08:30.864329,2016-01-01 04:08:30.864329,228
1080,kknap,Karin,Knapp,F,,,1987-06-28,R,2,2016-01-01 04:08:30.901512,2016-01-01 04:08:30.901512,107
1081,kkouk,Klara,Koukalova,F,,,1982-02-24,R,2,2016-01-01 04:08:30.91408,2016-01-01 04:08:30.91408,57
1082,kkrav,Konstantin,Kravchuk,M,,,1985-02-23,R,2,2016-01-01 04:08:30.925603,2016-01-01 04:08:30.925603,179
1083,kkrou,Katerina,Kroupova,F,,,1974-02-20,,,2016-01-01 04:08:30.937692,2016-01-01 04:08:30.937692,57
1085,kkuce,Karol,Kucera,M,,,1974-03-04,R,,2016-01-01 04:08:30.961053,2016-01-01 04:08:30.961053,193
1086,kkuco,Kristina,Kucova,F,,,1990-05-23,,B,2016-01-01 04:08:30.973022,2016-01-01 04:08:30.973022,193
1087,kkunc,Kristine,Kunce,F,,,1970-03-03,,,2016-01-01 04:08:30.98477,2016-01-01 04:08:30.98477,13
1088,klais,Kinnie,Laisne,F,,,1989-07-11,R,2,2016-01-01 04:08:30.996632,2016-01-01 04:08:30.996632,74
1089,kmale,Katerina,Maleeva,F,,,1969-05-07,R,2,2016-01-01 04:08:31.008768,2016-01-01 04:08:31.008768,33
1090,kmaro,Katalin,Marosa-Aracama,F,,,1979-11-12,R,2,2016-01-01 04:08:31.020425,2016-01-01 04:08:31.020425,99
1091,kmcca,Kelly,McCain,F,,,1983-03-18,R,2,2016-01-01 04:08:31.032931,2016-01-01 04:08:31.032931,228
1092,kmcdo,Kate,McDonald,F,,,1970-03-21,,,2016-01-01 04:08:31.044503,2016-01-01 04:08:31.044503,13
1093,kmill,Karin,Miller,F,,,1977-12-10,R,2,2016-01-01 04:08:31.056398,2016-01-01 04:08:31.056398,228
1094,kmlad,Kristina,Mladenovic,F,,,1993-05-14,R,2,2016-01-01 04:08:31.068444,2016-01-01 04:08:31.068444,74
1095,knaga,Kyoko,Nagatsuka,F,,,1974-02-22,,,2016-01-01 04:08:31.080163,2016-01-01 04:08:31.080163,109
1096,knagy,Kyra,Nagy,F,,,1977-12-29,R,2,2016-01-01 04:08:31.092128,2016-01-01 04:08:31.092128,99
1097,knara,Kurumi,Nara,F,,,1991-12-30,R,2,2016-01-01 04:08:31.129085,2016-01-01 04:08:31.129085,109
1098,knish,Kei,Nishikori,M,,,1989-12-29,R,2,2016-01-01 04:08:31.14145,2016-01-01 04:08:31.14145,109
1100,knowa,Katarzyna,Nowak,F,,,1969-01-13,,,2016-01-01 04:08:31.164998,2016-01-01 04:08:31.164998,173
1101,kobri,Katie,O'Brien,F,,,1986-05-02,R,2,2016-01-01 04:08:31.176895,2016-01-01 04:08:31.176895,227
1102,koelj,Katja,Oeljeklaus,F,,,1971-02-10,,,2016-01-01 04:08:31.188437,2016-01-01 04:08:31.188437,82
1103,kokam,Kumiko,Okamoto,F,,,1965-02-19,,,2016-01-01 04:08:31.200367,2016-01-01 04:08:31.200367,109
1104,kperv,Ksenia,Pervak,F,,,1991-05-27,L,2,2016-01-01 04:08:31.212411,2016-01-01 04:08:31.212411,179
1105,kpheb,Keri,Phebus,F,,,1974-05-01,,,2016-01-01 04:08:31.224508,2016-01-01 04:08:31.224508,228
1106,kpicc,Katia,Piccolini,F,,,1973-01-15,,,2016-01-01 04:08:31.23637,2016-01-01 04:08:31.23637,107
1107,kpite,Katarzyna,Piter,F,,,1991-02-16,R,2,2016-01-01 04:08:31.248184,2016-01-01 04:08:31.248184,173
1108,kples,Kristian,Pless,M,,,1981-02-09,R,,2016-01-01 04:08:31.260401,2016-01-01 04:08:31.260401,58
1109,kpo,Kimberly,Po,F,,,1971-10-20,R,2,2016-01-01 04:08:31.272426,2016-01-01 04:08:31.272426,228
1110,kquen,Karine,Quentrec,F,,,1969-10-21,,,2016-01-01 04:08:31.284191,2016-01-01 04:08:31.284191,74
1111,krick,Katie,Rickett,F,,,1968-08-19,,,2016-01-01 04:08:31.296335,2016-01-01 04:08:31.296335,227
1112,krina,Kathy,Rinaldi,F,,,1967-03-24,R,2,2016-01-01 04:08:31.308359,2016-01-01 04:08:31.308359,228
1113,krplis,Kristyna,Pliskova,F,,,1992-03-21,L,2,2016-01-01 04:08:31.346003,2016-01-01 04:08:31.346003,57
1114,kschi,Karen,Schimper,F,,,1967-05-26,,,2016-01-01 04:08:31.358559,2016-01-01 04:08:31.358559,197
1115,kschlu,Kristen,Schlukebir,F,,,1984-06-28,R,2,2016-01-01 04:08:31.369961,2016-01-01 04:08:31.369961,228
1116,kshar,Kirrily,Sharpe,F,,,1973-02-25,,,2016-01-01 04:08:31.381495,2016-01-01 04:08:31.381495,13
1117,ksini,Katerina,Siniakova,F,,,1996-05-10,R,2,2016-01-01 04:08:31.393616,2016-01-01 04:08:31.393616,57
1118,kspre,Karolina,Sprem,F,,,1984-10-25,R,2,2016-01-01 04:08:31.40534,2016-01-01 04:08:31.40534,54
1119,ksreb,Katarina,Srebotnik,F,,,1981-03-12,R,2,2016-01-01 04:08:31.41701,2016-01-01 04:08:31.41701,194
1120,kstei,Kim,Steinmetz,F,,,1957-12-22,,,2016-01-01 04:08:31.428945,2016-01-01 04:08:31.428945,228
1121,kstud,Katarina,Studenikova,F,,,1972-09-02,R,,2016-01-01 04:08:31.440976,2016-01-01 04:08:31.440976,193
1122,kthor,Kenny,Thorne,M,,,1966-01-24,R,,2016-01-01 04:08:31.452951,2016-01-01 04:08:31.452951,228
1123,ktili,Kim,Tilikainen,M,,,1975-07-08,R,,2016-01-01 04:08:31.464572,2016-01-01 04:08:31.464572,73
1125,kvlie,Kristof,Vliegen,M,,,1982-06-22,R,2,2016-01-01 04:08:31.488848,2016-01-01 04:08:31.488848,21
1126,kwoer,Kathrin,Woerle,F,,,1984-02-18,R,2,2016-01-01 04:08:31.500655,2016-01-01 04:08:31.500655,82
1127,laeld,Leigh-Anne,Eldredge,F,,,1964-12-14,,,2016-01-01 04:08:31.512513,2016-01-01 04:08:31.512513,228
1128,lahl,Lucie,Ahl,F,,,1974-07-23,R,2,2016-01-01 04:08:31.524649,2016-01-01 04:08:31.524649,227
1129,lalba,Lauren,Albanese,F,,,1989-10-01,R,2,2016-01-01 04:08:31.5366,2016-01-01 04:08:31.5366,228
1130,lalle,Louise,Allen,F,,,1962-01-07,,,2016-01-01 04:08:31.560698,2016-01-01 04:08:31.560698,228
1131,landr,Laurence,Andretto,F,,,1973-05-14,R,2,2016-01-01 04:08:31.572346,2016-01-01 04:08:31.572346,74
1132,lanto,Lea,Antonoplis,F,,,1959-01-20,,,2016-01-01 04:08:31.584702,2016-01-01 04:08:31.584702,228
1133,larno,Lucas,Arnold Ker,M,,,1974-10-12,R,,2016-01-01 04:08:31.596435,2016-01-01 04:08:31.596435,10
1134,larru,Lara,Arruabarrena-Vecino,F,,,1992-03-20,R,2,2016-01-01 04:08:31.608303,2016-01-01 04:08:31.608303,200
1135,lawah,Lars-Anders,Wahlgren,M,,,1966-08-24,R,,2016-01-01 04:08:31.620541,2016-01-01 04:08:31.620541,208
1136,lbach,Lubomira,Bacheva,F,,,1975-03-07,R,,2016-01-01 04:08:31.632385,2016-01-01 04:08:31.632385,33
1137,lbale,Lan,Bale,M,,,1969-09-07,R,,2016-01-01 04:08:31.644505,2016-01-01 04:08:31.644505,197
1138,lbond,Lisa,Bonder,F,,,1965-10-16,R,,2016-01-01 04:08:31.657688,2016-01-01 04:08:31.657688,228
1139,lbrea,Lauren,Breadmore,F,,,1983-06-01,,,2016-01-01 04:08:31.720738,2016-01-01 04:08:31.720738,13
1140,lburg,Lars,Burgsmuller,M,,,1975-12-06,R,,2016-01-01 04:08:31.731413,2016-01-01 04:08:31.731413,82
1141,lcenk,Lenka,Cenkova,F,,,1977-01-24,,,2016-01-01 04:08:31.742988,2016-01-01 04:08:31.742988,57
1142,lcerv,Ludmila,Cervanova,F,,,1979-10-15,R,,2016-01-01 04:08:31.754505,2016-01-01 04:08:31.754505,193
1143,lchil,Lee,Childs,M,,,1982-06-11,R,,2016-01-01 04:08:31.766247,2016-01-01 04:08:31.766247,227
1144,lcors,Luciana,Corsato,F,,,1966-01-21,,,2016-01-01 04:08:31.777918,2016-01-01 04:08:31.777918,30
1145,lcour,Laurence,Courtois,F,,,1976-01-18,R,,2016-01-01 04:08:31.790028,2016-01-01 04:08:31.790028,21
1146,ldave,Lindsay,Davenport,F,,,1976-06-08,R,2,2016-01-01 04:08:31.801892,2016-01-01 04:08:31.801892,228
1147,ldavi,Lauren,Davis,F,,,1993-10-09,R,2,2016-01-01 04:08:31.813948,2016-01-01 04:08:31.813948,228
1148,ldlho,Lenka,Dlhopolcova,F,,,1984-07-14,R,2,2016-01-01 04:08:31.825716,2016-01-01 04:08:31.825716,193
1149,ldlou,Lukas,Dlouhy,M,,,1983-04-09,R,,2016-01-01 04:08:31.837531,2016-01-01 04:08:31.837531,57
1150,ldomi,Lourdes,Dominguez-Lino,F,,,1981-03-31,R,1,2016-01-01 04:08:31.849754,2016-01-01 04:08:31.849754,200
1151,ldunc,Lawson,Duncan,M,,,1964-10-26,R,,2016-01-01 04:08:31.86133,2016-01-01 04:08:31.86133,228
1152,leher,Luis-Enrique,Herrera,M,,,1971-08-27,L,,2016-01-01 04:08:31.873134,2016-01-01 04:08:31.873134,140
1153,lembr,Lauren,Embree,F,,,1991-01-10,R,2,2016-01-01 04:08:31.885338,2016-01-01 04:08:31.885338,228
1154,leneme,Lenka,Nemeckova,F,,,1976-04-20,R,2,2016-01-01 04:08:31.897272,2016-01-01 04:08:31.897272,57
1155,lferr,Linda,Ferrando,F,,,1966-01-12,,,2016-01-01 04:08:31.909024,2016-01-01 04:08:31.909024,107
1156,lfiel,Louise,Field,F,,,1967-02-25,,,2016-01-01 04:08:31.920957,2016-01-01 04:08:31.920957,13
1157,lgarr,Laura,Garrone,F,,,1967-11-15,,,2016-01-01 04:08:31.932654,2016-01-01 04:08:31.932654,107
1124,kully,Kevin,Ullyett,M,,,1972-05-23,R,,2016-01-01 04:08:31.476823,2016-02-11 21:16:48.497356,241
1084,kksch,Karin,Kschwendt,F,,,1968-09-14,,,2016-01-01 04:08:30.949144,2016-02-11 21:24:17.723954,14
1158,lghir,Lea,Ghirardi-Rubbi,F,,,1974-02-10,R,B,2016-01-01 04:08:31.944998,2016-01-01 04:08:31.944998,74
1159,lgild,Laura,Gildemeister,F,,,1964-01-12,,,2016-01-01 04:08:31.956781,2016-01-01 04:08:31.956781,170
1160,lglor,Louis,Gloria,M,,,1969-04-15,L,,2016-01-01 04:08:31.971965,2016-01-01 04:08:31.971965,228
1161,lgola,Laura,Golarsa,F,,,1967-11-27,R,,2016-01-01 04:08:32.019406,2016-01-01 04:08:32.019406,107
1162,lgoul,Lisa,Gould,F,,,1967-05-27,R,,2016-01-01 04:08:32.042879,2016-01-01 04:08:32.042879,227
1163,lgran,Laura,Granville,F,,,1981-05-12,R,2,2016-01-01 04:08:32.05412,2016-01-01 04:08:32.05412,228
1164,lgree,Lisa,Green,F,,,1968-07-18,,,2016-01-01 04:08:32.065931,2016-01-01 04:08:32.065931,228
1165,lharp,Levar,Harper-Griffith,M,,,1981-09-04,R,,2016-01-01 04:08:32.078099,2016-01-01 04:08:32.078099,228
1166,lharv,Linda,Harvey-Wild,F,,,1971-02-11,,,2016-01-01 04:08:32.089976,2016-01-01 04:08:32.089976,228
1167,lhewi,Lleyton,Hewitt,M,,,1981-02-24,R,2,2016-01-01 04:08:32.101555,2016-01-01 04:08:32.101555,13
1168,lhrad,Lucie,Hradecka,F,,,1985-05-21,R,2,2016-01-01 04:08:32.113755,2016-01-01 04:08:32.113755,57
1169,lhube,LIezel,Huber,F,,,1976-08-21,R,2,2016-01-01 04:08:32.125569,2016-01-01 04:08:32.125569,197
1170,ligreg,Lise,Gregory,F,,,1963-08-29,L,,2016-01-01 04:08:32.137857,2016-01-01 04:08:32.137857,197
1171,linbart,Lindsay,Bartlett,F,,,1962-07-31,,,2016-01-01 04:08:32.149361,2016-01-01 04:08:32.149361,228
1172,lineme,Libor,Nemecek,M,,,1968-10-26,R,,2016-01-01 04:08:32.161229,2016-01-01 04:08:32.161229,57
1173,liobart,Lionnel,Barthez,M,,,1967-05-18,R,2,2016-01-01 04:08:32.173156,2016-01-01 04:08:32.173156,74
1174,ljelf,Lizzy,Jelfs,F,,,1976-07-29,,,2016-01-01 04:08:32.185168,2016-01-01 04:08:32.185168,227
1175,ljens,Luke,Jensen,M,,,1966-06-18,B,,2016-01-01 04:08:32.196929,2016-01-01 04:08:32.196929,228
1176,ljons,Lars,Jonsson,M,,,1970-06-27,R,,2016-01-01 04:08:32.208968,2016-01-01 04:08:32.208968,208
1177,lkosl,Lars,Koslowski,M,,,1971-05-22,R,,2016-01-01 04:08:32.22097,2016-01-01 04:08:32.22097,82
1178,lkras,Lina,Krasnoroutskaya,F,,,1984-04-29,R,,2016-01-01 04:08:32.232997,2016-01-01 04:08:32.232997,179
1179,lkubo,Lukasz,Kubot,M,,,1982-05-16,R,2,2016-01-01 04:08:32.256779,2016-01-01 04:08:32.256779,173
1180,lkumk,Luksika,Kumkhum,F,,,1993-07-21,,,2016-01-01 04:08:32.268932,2016-01-01 04:08:32.268932,214
1181,lkurh,Lubomira,Kurhajcova,F,,,1983-10-11,R,2,2016-01-01 04:08:32.280832,2016-01-01 04:08:32.280832,193
1182,llack,Lukas,Lacko,M,,,1987-11-03,R,,2016-01-01 04:08:32.292926,2016-01-01 04:08:32.292926,193
1183,llapi,Laura,Lapi,F,,,1970-09-10,,,2016-01-01 04:08:32.304996,2016-01-01 04:08:32.304996,107
1185,llati,Louise,Latimer,F,,,1978-01-19,R,,2016-01-01 04:08:32.329112,2016-01-01 04:08:32.329112,227
1186,llava,Leonardo,Lavalle,M,,,1967-07-14,L,,2016-01-01 04:08:32.340998,2016-01-01 04:08:32.340998,140
1187,llche,Li-Ling,Chen,F,,,1971-03-13,,,2016-01-01 04:08:32.352506,2016-01-01 04:08:32.352506,44
1188,llee,Lindsay,Lee,F,,,1977-06-28,R,2,2016-01-01 04:08:32.36455,2016-01-01 04:08:32.36455,228
1189,lloko,Laurent,Lokoli,M,,,1994-10-18,R,2,2016-01-01 04:08:32.376462,2016-01-01 04:08:32.376462,74
1190,lmant,Lorenzo,Manta,M,,,1974-09-16,R,,2016-01-01 04:08:32.38838,2016-01-01 04:08:32.38838,209
1191,lmatt,Luiz,Mattar,M,,,1963-08-18,R,,2016-01-01 04:08:32.400671,2016-01-01 04:08:32.400671,30
1192,lmaye,Leonardo,Mayer,M,,,1987-05-15,R,,2016-01-01 04:08:32.412488,2016-01-01 04:08:32.412488,10
1193,lmcne,Lori,McNeil,F,,,1963-12-18,R,,2016-01-01 04:08:32.424311,2016-01-01 04:08:32.424311,228
1194,lmcsh,Lisa,McShea,F,,,1974-10-29,,,2016-01-01 04:08:32.436685,2016-01-01 04:08:32.436685,13
1196,lmill,Luke,Milligan,M,,,1976-08-06,R,,2016-01-01 04:08:32.47277,2016-01-01 04:08:32.47277,227
1197,lonei,Lisa,O'Neill,F,,,1968-08-08,,,2016-01-01 04:08:32.484455,2016-01-01 04:08:32.484455,13
1198,loste,Lilia,Osterloh,F,,,1978-04-07,R,2,2016-01-01 04:08:32.496641,2016-01-01 04:08:32.496641,228
1199,louah,Lamine,Ouahab,M,,,1984-12-22,R,2,2016-01-01 04:08:32.508698,2016-01-01 04:08:32.508698,3
1200,lpaes,Leander,Paes,M,,,1973-06-17,R,,2016-01-01 04:08:32.520529,2016-01-01 04:08:32.520529,101
1201,lpime,Libor,Pimek,M,,,1963-08-03,R,,2016-01-01 04:08:32.53307,2016-01-01 04:08:32.53307,242
1202,lporu,Laxmi,Poruri,F,,,1972-11-09,,,2016-01-01 04:08:32.544728,2016-01-01 04:08:32.544728,228
1203,lpoui,Lucas,Pouille,M,,,1994-02-03,R,,2016-01-01 04:08:32.556555,2016-01-01 04:08:32.556555,74
1204,lpous,Laura,Pous-Tio,F,,,1984-10-01,R,2,2016-01-01 04:08:32.568937,2016-01-01 04:08:32.568937,200
1205,lprad,Laurent,Prades,M,,,1968-07-19,L,,2016-01-01 04:08:32.580509,2016-01-01 04:08:32.580509,74
1206,lprus,Libuse,Prusova,F,,,1979-07-13,R,2,2016-01-01 04:08:32.592705,2016-01-01 04:08:32.592705,57
1207,lraym,Lisa,Raymond,F,,,1973-08-10,R,1,2016-01-01 04:08:32.604791,2016-01-01 04:08:32.604791,228
1208,lreco,Laurent,Recouderc,M,,,1984-07-10,R,,2016-01-01 04:08:32.616591,2016-01-01 04:08:32.616591,74
1209,lrehm,Lars,Rehmann,M,,,1975-05-21,R,,2016-01-01 04:08:32.628732,2016-01-01 04:08:32.628732,82
1210,lrich,Ludmila,Richterova,F,,,1977-03-07,,,2016-01-01 04:08:32.640836,2016-01-01 04:08:32.640836,57
1211,lrobs,Laura,Robson,F,,,1994-01-21,L,2,2016-01-01 04:08:32.652725,2016-01-01 04:08:32.652725,227
1212,lroso,Lukas,Rosol,M,,,1985-07-24,R,2,2016-01-01 04:08:32.664932,2016-01-01 04:08:32.664932,57
1213,lroux,Lionel,Roux,M,,,1973-04-12,R,,2016-01-01 04:08:32.689353,2016-01-01 04:08:32.689353,74
1214,lsafa,Lucie,Safarova,F,,,1987-02-04,L,2,2016-01-01 04:08:32.701065,2016-01-01 04:08:32.701065,57
1215,lsavc,Larisa,Savchenko-Neiland,F,,,1966-07-21,R,,2016-01-01 04:08:32.712941,2016-01-01 04:08:32.712941,244
1216,lsavi,Luke,Saville,M,,,1994-02-01,R,,2016-01-01 04:08:32.724792,2016-01-01 04:08:32.724792,13
1217,lscot,Larry,Scott,M,,,1964-11-21,R,,2016-01-01 04:08:32.736788,2016-01-01 04:08:32.736788,228
1218,lshir,Leif,Shiras,M,,,1959-08-21,R,,2016-01-01 04:08:32.748508,2016-01-01 04:08:32.748508,228
1219,lskav,Lioudmila,Skavronskaia,F,,,1980-03-23,,,2016-01-01 04:08:32.760665,2016-01-01 04:08:32.760665,179
1220,lsmit,Luke,Smith,M,,,1976-10-25,R,,2016-01-01 04:08:32.772635,2016-01-01 04:08:32.772635,13
1221,lsore,Louk,Sorensen,M,,,1985-01-07,R,,2016-01-01 04:08:32.784465,2016-01-01 04:08:32.784465,105
1222,lstac,Louise,Stacey,F,,,1972-01-10,,,2016-01-01 04:08:32.796454,2016-01-01 04:08:32.796454,13
1223,lsvar,Ladislav,Svarc,M,,,1978-11-13,R,2,2016-01-01 04:08:32.808471,2016-01-01 04:08:32.808471,193
1224,ltiel,Laurence,Tieleman,M,,,1972-11-14,R,,2016-01-01 04:08:32.820691,2016-01-01 04:08:32.820691,107
1225,ltsur,Lesya,Tsurenko,F,,,1989-05-30,R,2,2016-01-01 04:08:32.832657,2016-01-01 04:08:32.832657,225
1226,lugreg,Luka,Gregorc,M,,,1984-02-14,R,2,2016-01-01 04:08:32.84461,2016-01-01 04:08:32.84461,194
1227,luhorn,Luis,Horna,M,,,1980-09-14,R,,2016-01-01 04:08:32.856593,2016-01-01 04:08:32.856593,170
1228,lward,Laurie,Warder,M,,,1962-10-23,R,,2016-01-01 04:08:32.869092,2016-01-01 04:08:32.869092,13
1229,lwood,Lorna,Woodroffe,F,,,1976-08-18,,,2016-01-01 04:08:32.881298,2016-01-01 04:08:32.881298,227
1230,mabart,Marion,Bartoli,F,,,1984-09-02,R,B,2016-01-01 04:08:32.893058,2016-01-01 04:08:32.893058,74
1231,mabel,Maximilian,Abel,M,,,1982-02-28,R,,2016-01-01 04:08:32.904971,2016-01-01 04:08:32.904971,82
1232,madam,Monique,Adamczak,F,,,1983-01-21,R,,2016-01-01 04:08:32.916761,2016-01-01 04:08:32.916761,13
1233,magmale,Magdalena,Maleeva,F,,,1975-04-01,R,2,2016-01-01 04:08:32.928759,2016-01-01 04:08:32.928759,33
1234,magor,Marcos-Aurelio,Gorriz-Bonhora,M,,,1964-03-04,L,,2016-01-01 04:08:32.940757,2016-01-01 04:08:32.940757,200
1235,makrat,Mark,Kratzmann,M,,,1966-05-17,L,,2016-01-01 04:08:32.95292,2016-01-01 04:08:32.95292,13
1236,malle,Malcolm,Allen,M,,,1967-07-13,R,,2016-01-01 04:08:32.964582,2016-01-01 04:08:32.964582,228
1237,malop,Miguel-Angel,Lopez Jaen,M,,,1982-11-29,R,,2016-01-01 04:08:32.976564,2016-01-01 04:08:32.976564,200
1238,malun,Martin,Alund,M,,,1985-12-26,R,,2016-01-01 04:08:32.989003,2016-01-01 04:08:32.989003,10
1239,malwash,MaliVai,Washington,M,,,1969-06-20,R,,2016-01-01 04:08:33.000871,2016-01-01 04:08:33.000871,228
1240,manci,Mario,Ancic,M,,,1984-03-30,R,2,2016-01-01 04:08:33.012677,2016-01-01 04:08:33.012677,54
1184,llask,Leona,Laskova,F,,,1970-04-07,,,2016-01-01 04:08:32.317066,2016-02-11 21:24:27.765041,57
1241,mandr,Mailyne,Andrieux,F,,,1987-12-01,,,2016-01-01 04:08:33.024791,2016-01-01 04:08:33.024791,74
1242,mange,Matt,Anger,M,,,1963-06-20,R,,2016-01-01 04:08:33.036838,2016-01-01 04:08:33.036838,228
1243,mani,Maret,Ani,F,,,1982-01-31,R,2,2016-01-01 04:08:33.048808,2016-01-01 04:08:33.048808,68
1244,manmale,Manuela,Maleeva-Fragniere,F,,,1967-02-14,R,2,2016-01-01 04:08:33.086205,2016-01-01 04:08:33.086205,209
1245,marcdani,Marcos,Daniel,M,,,1978-07-04,R,,2016-01-01 04:08:33.098378,2016-01-01 04:08:33.098378,30
1246,mashiwash,Mashishka,Washington,M,,,1974-12-19,R,,2016-01-01 04:08:33.110284,2016-01-01 04:08:33.110284,228
1247,maswash,Mashona,Washington,F,,,1976-05-31,R,2,2016-01-01 04:08:33.122321,2016-01-01 04:08:33.122321,228
1248,mataba,Mario,Tabares,M,,,1965-07-22,R,,2016-01-01 04:08:33.133582,2016-01-01 04:08:33.133582,55
1249,mauth,Maxime,Authom,M,,,1987-03-29,R,,2016-01-01 04:08:33.145679,2016-01-01 04:08:33.145679,21
1250,maven,Maria-Alejandra,Vento,F,,,1974-05-24,R,2,2016-01-01 04:08:33.157629,2016-01-01 04:08:33.157629,233
1251,mbabe,Meike,Babel,F,,,1974-11-22,,,2016-01-01 04:08:33.169231,2016-01-01 04:08:33.169231,82
1252,mbach,Matthias,Bachinger,M,,,1987-04-02,R,2,2016-01-01 04:08:33.18134,2016-01-01 04:08:33.18134,82
1253,mbagh,Marcos,Baghdatis,M,,,1985-06-17,R,2,2016-01-01 04:08:33.193125,2016-01-01 04:08:33.193125,56
1254,mbahr,Mansour,Bahrami,M,,,1956-04-26,R,,2016-01-01 04:08:33.205152,2016-01-01 04:08:33.205152,103
1255,mbaue,Mike,Bauer,M,,,1959-06-29,R,,2016-01-01 04:08:33.217191,2016-01-01 04:08:33.217191,228
1256,mberr,Michael,Berrer,M,,,1980-07-01,L,,2016-01-01 04:08:33.228755,2016-01-01 04:08:33.228755,82
1257,mbhup,Mahesh,Bhupathi,M,,,1974-06-07,R,2,2016-01-01 04:08:33.240922,2016-01-01 04:08:33.240922,101
1258,mblac,Martin,Blackman,M,,,1975-03-05,R,,2016-01-01 04:08:33.252971,2016-01-01 04:08:33.252971,228
1259,mboek,Matias,Boeker,M,,,1980-12-11,,,2016-01-01 04:08:33.264862,2016-01-01 04:08:33.264862,228
1260,mboll,Manon,Bollegraf,F,,,1964-04-10,,,2016-01-01 04:08:33.302327,2016-01-01 04:08:33.302327,153
1261,mbowr,Michelle,Bowrey,F,,,1970-07-12,R,,2016-01-01 04:08:33.31461,2016-01-01 04:08:33.31461,13
1262,mbree,Matthew,Breen,M,,,1976-06-12,,,2016-01-01 04:08:33.326213,2016-01-01 04:08:33.326213,13
1263,mbren,Madison,Brengle,F,,,1990-04-03,,,2016-01-01 04:08:33.338033,2016-01-01 04:08:33.338033,228
1264,mbrow,Melissa,Brown,F,,,1968-04-11,,,2016-01-01 04:08:33.349921,2016-01-01 04:08:33.349921,228
1265,mbrya,Mike,Bryan,M,,,1978-04-29,R,1,2016-01-01 04:08:33.361889,2016-01-01 04:08:33.361889,228
1266,mburd,Mallory,Burdette,F,,,1991-01-28,,,2016-01-01 04:08:33.373916,2016-01-01 04:08:33.373916,228
1267,mcarl,Marcio,Carlsson,M,,,1975-01-24,R,,2016-01-01 04:08:33.39808,2016-01-01 04:08:33.39808,30
1268,mcasa,Myriam,Casanova,F,,,1985-06-20,R,2,2016-01-01 04:08:33.410463,2016-01-01 04:08:33.410463,209
1269,mccal,Marie-Christine,Calleja,F,,,1964-01-14,,,2016-01-01 04:08:33.422115,2016-01-01 04:08:33.422115,74
1270,mcdam,Maria-Christine,Damas,F,,,1966-12-09,,,2016-01-01 04:08:33.433449,2016-01-01 04:08:33.433449,74
1271,mceci,Mallory,Cecil,F,,,1990-07-18,R,2,2016-01-01 04:08:33.445803,2016-01-01 04:08:33.445803,228
1272,mchan,Michael,Chang,M,,,1972-02-22,R,2,2016-01-01 04:08:33.457919,2016-01-01 04:08:33.457919,228
1273,mchar,Marcelo,Charpentier,M,,,1973-07-11,L,,2016-01-01 04:08:33.470089,2016-01-01 04:08:33.470089,10
1274,mchiu,Marco,Chiudinelli,M,,,1981-09-10,R,,2016-01-01 04:08:33.481925,2016-01-01 04:08:33.481925,209
1275,mcier,Massimo,Cierro,M,,,1964-05-07,R,,2016-01-01 04:08:33.506385,2016-01-01 04:08:33.506385,107
1276,mcili,Marin,Cilic,M,,,1988-09-28,R,,2016-01-01 04:08:33.518106,2016-01-01 04:08:33.518106,54
1277,mcrac,Marcello,Craca,M,,,1974-10-27,R,,2016-01-01 04:08:33.530117,2016-01-01 04:08:33.530117,82
1278,mcrug,Marco,Crugnola,M,,,1983-05-24,R,,2016-01-01 04:08:33.541915,2016-01-01 04:08:33.541915,107
1279,mczin,Melinda,Czink,F,,,1982-10-22,L,2,2016-01-01 04:08:33.553552,2016-01-01 04:08:33.553552,99
1280,mdamm,Martin,Damm,M,,,1972-08-01,R,,2016-01-01 04:08:33.565629,2016-01-01 04:08:33.565629,57
1281,mdavi,Marty,Davis,M,,,1958-11-15,R,,2016-01-01 04:08:33.577654,2016-01-01 04:08:33.577654,228
1282,mdelf,Mariano,Delfino,M,,,1977-09-30,,,2016-01-01 04:08:33.589378,2016-01-01 04:08:33.589378,10
